"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3217","Accept Prompt Popup with Text","chromium","Sun Mar 02 23:03:01 IST 2025","passed","Sun Mar 02 23:03:04 IST 2025","","Popups.spec.js","",""
"","3876","Verify Tooltip","chromium","Sun Mar 02 23:03:04 IST 2025","passed","Sun Mar 02 23:03:08 IST 2025","","Popups.spec.js","",""
"","6590","Dismiss Prompt Popup","webkit","Sun Mar 02 23:04:39 IST 2025","passed","Sun Mar 02 23:04:46 IST 2025","","Popups.spec.js","",""
"","12789","Test & Validate Form Fields","firefox","Sun Mar 02 23:02:58 IST 2025","passed","Sun Mar 02 23:03:11 IST 2025","","FormFields.spec.js","",""
"","7834","Test Alert Popup","firefox","Sun Mar 02 23:03:14 IST 2025","passed","Sun Mar 02 23:03:21 IST 2025","","Popups.spec.js","",""
"","19038","Test & Validate Form Fields","webkit","Sun Mar 02 23:03:45 IST 2025","passed","Sun Mar 02 23:04:04 IST 2025","","FormFields.spec.js","",""
"","19397","Validate JavaScript Delays","webkit","Sun Mar 02 23:03:56 IST 2025","passed","Sun Mar 02 23:04:15 IST 2025","","JavaScriptDelays.spec.js","",""
"","13375","Test & Validate Form Fields","chromium","Sun Mar 02 23:02:26 IST 2025","passed","Sun Mar 02 23:02:39 IST 2025","","FormFields.spec.js","",""
"","5157","Verify Tooltip","firefox","Sun Mar 02 23:03:48 IST 2025","passed","Sun Mar 02 23:03:53 IST 2025","","Popups.spec.js","",""
"","5437","Dismiss Prompt Popup","firefox","Sun Mar 02 23:03:38 IST 2025","passed","Sun Mar 02 23:03:43 IST 2025","","Popups.spec.js","",""
"","5753","Dismiss Confirm Popups","chromium","Sun Mar 02 23:02:48 IST 2025","passed","Sun Mar 02 23:02:54 IST 2025","","Popups.spec.js","",""
"","6831","Accept Prompt Popup with Text","webkit","Sun Mar 02 23:04:46 IST 2025","passed","Sun Mar 02 23:04:53 IST 2025","","Popups.spec.js","",""
"","3744","Dismiss Prompt Popup","chromium","Sun Mar 02 23:02:57 IST 2025","passed","Sun Mar 02 23:03:01 IST 2025","","Popups.spec.js","",""
"","8085","Test Alert Popup","webkit","Sun Mar 02 23:04:04 IST 2025","passed","Sun Mar 02 23:04:12 IST 2025","","Popups.spec.js","",""
"","7479","Move slider and validate value","firefox","Sun Mar 02 23:03:33 IST 2025","passed","Sun Mar 02 23:03:40 IST 2025","","Sliders.spec.js","",""
"","6621","Move slider and validate value","chromium","Sun Mar 02 23:02:47 IST 2025","passed","Sun Mar 02 23:02:54 IST 2025","","Sliders.spec.js","",""
"","7076","Accept Prompt Popup","firefox","Sun Mar 02 23:03:30 IST 2025","passed","Sun Mar 02 23:03:38 IST 2025","","Popups.spec.js","",""
"","4156","Dismiss Confirm Popups","firefox","Sun Mar 02 23:03:26 IST 2025","passed","Sun Mar 02 23:03:30 IST 2025","","Popups.spec.js","",""
"","14767","Move slider and validate value","webkit","Sun Mar 02 23:04:15 IST 2025","passed","Sun Mar 02 23:04:30 IST 2025","","Sliders.spec.js","",""
"","8670","Dismiss Confirm Popups","webkit","Sun Mar 02 23:04:24 IST 2025","passed","Sun Mar 02 23:04:33 IST 2025","","Popups.spec.js","",""
"","3641","Accept Prompt Popup","chromium","Sun Mar 02 23:02:54 IST 2025","passed","Sun Mar 02 23:02:57 IST 2025","","Popups.spec.js","",""
"","20562","Validate JavaScript Delays","firefox","Sun Mar 02 23:03:11 IST 2025","passed","Sun Mar 02 23:03:32 IST 2025","","JavaScriptDelays.spec.js","",""
"","3947","Accept Confirm Popup","chromium","Sun Mar 02 23:02:44 IST 2025","passed","Sun Mar 02 23:02:48 IST 2025","","Popups.spec.js","",""
"","7085","Verify Tooltip","webkit","Sun Mar 02 23:04:53 IST 2025","passed","Sun Mar 02 23:05:00 IST 2025","","Popups.spec.js","",""
"","6343","Accept Prompt Popup","webkit","Sun Mar 02 23:04:33 IST 2025","passed","Sun Mar 02 23:04:39 IST 2025","","Popups.spec.js","",""
"","4916","Accept Confirm Popup","firefox","Sun Mar 02 23:03:21 IST 2025","passed","Sun Mar 02 23:03:26 IST 2025","","Popups.spec.js","",""
"","4231","Test Alert Popup","chromium","Sun Mar 02 23:02:40 IST 2025","passed","Sun Mar 02 23:02:44 IST 2025","","Popups.spec.js","",""
"","11854","Accept Confirm Popup","webkit","Sun Mar 02 23:04:13 IST 2025","passed","Sun Mar 02 23:04:24 IST 2025","","Popups.spec.js","",""
"","20449","Validate JavaScript Delays","chromium","Sun Mar 02 23:02:26 IST 2025","passed","Sun Mar 02 23:02:47 IST 2025","","JavaScriptDelays.spec.js","",""
"","4765","Accept Prompt Popup with Text","firefox","Sun Mar 02 23:03:43 IST 2025","passed","Sun Mar 02 23:03:48 IST 2025","","Popups.spec.js","",""
